repeat,fold,algo,auc,best,spec
2,5,xgboost,0.756761412575366,"{""clf__learning_rate"": 0.05, ""clf__max_depth"": 2}",M0
2,6,xgboost,0.7906115417743325,"{""clf__learning_rate"": 0.05, ""clf__max_depth"": 2}",M0
2,7,xgboost,0.7943152454780362,"{""clf__learning_rate"": 0.05, ""clf__max_depth"": 2}",M0
2,8,xgboost,0.7840654608096468,"{""clf__learning_rate"": 0.05, ""clf__max_depth"": 2}",M0
2,9,xgboost,0.7932816537467701,"{""clf__learning_rate"": 0.05, ""clf__max_depth"": 2}",M0
3,0,xgboost,0.7524794801641588,"{""clf__learning_rate"": 0.05, ""clf__max_depth"": 2}",M0
3,1,xgboost,0.7937756497948015,"{""clf__learning_rate"": 0.05, ""clf__max_depth"": 2}",M0
3,2,xgboost,0.821904924760602,"{""clf__learning_rate"": 0.05, ""clf__max_depth"": 2}",M0
3,3,xgboost,0.7984006734006734,"{""clf__learning_rate"": 0.05, ""clf__max_depth"": 2}",M0
3,4,xgboost,0.7641688199827734,"{""clf__learning_rate"": 0.05, ""clf__max_depth"": 2}",M0
3,5,xgboost,0.786993970714901,"{""clf__learning_rate"": 0.05, ""clf__max_depth"": 2}",M0
3,6,xgboost,0.7919896640826873,"{""clf__learning_rate"": 0.05, ""clf__max_depth"": 2}",M0
3,7,xgboost,0.7620155038759691,"{""clf__learning_rate"": 0.05, ""clf__max_depth"": 2}",M0
3,8,xgboost,0.7247200689061154,"{""clf__learning_rate"": 0.05, ""clf__max_depth"": 2}",M0
3,9,xgboost,0.8111111111111111,"{""clf__learning_rate"": 0.05, ""clf__max_depth"": 2}",M0
4,0,xgboost,0.7830882352941176,"{""clf__learning_rate"": 0.05, ""clf__max_depth"": 2}",M0
4,1,xgboost,0.8016415868673051,"{""clf__learning_rate"": 0.05, ""clf__max_depth"": 2}",M0
4,2,xgboost,0.8269493844049247,"{""clf__learning_rate"": 0.05, ""clf__max_depth"": 2}",M0
4,3,xgboost,0.7628787878787879,"{""clf__learning_rate"": 0.05, ""clf__max_depth"": 2}",M0
4,4,xgboost,0.7707149009474591,"{""clf__learning_rate"": 0.05, ""clf__max_depth"": 2}",M0
4,5,xgboost,0.8482342807924202,"{""clf__learning_rate"": 0.05, ""clf__max_depth"": 2}",M0
4,6,xgboost,0.796124031007752,"{""clf__learning_rate"": 0.05, ""clf__max_depth"": 2}",M0
4,7,xgboost,0.7512489233419466,"{""clf__learning_rate"": 0.05, ""clf__max_depth"": 2}",M0
4,8,xgboost,0.7654608096468561,"{""clf__learning_rate"": 0.05, ""clf__max_depth"": 2}",M0
4,9,xgboost,0.7713178294573643,"{""clf__learning_rate"": 0.05, ""clf__max_depth"": 2}",M0
0,0,logistic,0.810875512995896,"{""clf__C"": 0.1}",M1
0,1,logistic,0.8375512995896033,"{""clf__C"": 0.1}",M1
0,2,logistic,0.792749658002736,"{""clf__C"": 0.1}",M1
0,3,logistic,0.7626262626262625,"{""clf__C"": 0.1}",M1
0,4,logistic,0.786046511627907,"{""clf__C"": 0.1}",M1
0,5,logistic,0.8237726098191215,"{""clf__C"": 0.1}",M1
0,6,logistic,0.771576227390181,"{""clf__C"": 0.1}",M1
0,7,logistic,0.7627906976744186,"{""clf__C"": 0.1}",M1
0,8,logistic,0.7534883720930232,"{""clf__C"": 0.1}",M1
0,9,logistic,0.760551248923342,"{""clf__C"": 0.1}",M1
1,0,logistic,0.8553351573187413,"{""clf__C"": 0.1}",M1
1,1,logistic,0.8437072503419972,"{""clf__C"": 0.1}",M1
1,2,logistic,0.7910396716826266,"{""clf__C"": 0.1}",M1
1,3,logistic,0.747979797979798,"{""clf__C"": 0.1}",M1
1,4,logistic,0.7891472868217054,"{""clf__C"": 0.1}",M1
1,5,logistic,0.7939707149009475,"{""clf__C"": 0.1}",M1
1,6,logistic,0.8210163652024117,"{""clf__C"": 0.1}",M1
1,7,logistic,0.7402239448751077,"{""clf__C"": 0.1}",M1
1,8,logistic,0.749526270456503,"{""clf__C"": 0.1}",M1
1,9,logistic,0.7217915590008613,"{""clf__C"": 0.1}",M1
2,0,logistic,0.7971956224350205,"{""clf__C"": 0.1}",M1
2,1,logistic,0.7753077975376197,"{""clf__C"": 0.1}",M1
2,2,logistic,0.7804377564979479,"{""clf__C"": 0.1}",M1
2,3,logistic,0.7964646464646465,"{""clf__C"": 0.1}",M1
2,4,logistic,0.7888027562446167,"{""clf__C"": 0.1}",M1
2,5,logistic,0.7670973298880275,"{""clf__C"": 0.1}",M1
2,6,logistic,0.7879414298018949,"{""clf__C"": 0.1}",M1
2,7,logistic,0.8022394487510766,"{""clf__C"": 0.1}",M1
2,8,logistic,0.7834625322997416,"{""clf__C"": 0.1}",M1
2,9,logistic,0.7934539190353144,"{""clf__C"": 0.1}",M1
3,0,logistic,0.771032831737346,"{""clf__C"": 0.1}",M1
3,1,logistic,0.8011285909712722,"{""clf__C"": 0.1}",M1
3,2,logistic,0.8331053351573188,"{""clf__C"": 0.1}",M1
3,3,logistic,0.8050505050505051,"{""clf__C"": 0.1}",M1
3,4,logistic,0.7681309216192936,"{""clf__C"": 0.1}",M1
3,5,logistic,0.7900086132644272,"{""clf__C"": 0.1}",M1
3,6,logistic,0.7958656330749354,"{""clf__C"": 0.1}",M1
3,7,logistic,0.7795004306632213,"{""clf__C"": 0.1}",M1
